Year,Name,Rmax,Type
1997,ASCI Red,1.06,TFLOPS
2000,ASCI White,4.93,TFLOPS
2001,ASCI White,7.20,TFLOPS
2002,Earth Simulator,35.86,TFLOPS
2004,Blue Gene/L,70.72,TFLOPS
2005,Blue Gene/L,136.80,TFLOPS
2005,Blue Gene/L,280.60,TFLOPS
2007,Blue Gene/L,478.20,TFLOPS
2008,Roadrunner,1020.0,TFLOPS
2008,Roadrunner,1100.0,TFLOPS
2009,Jaguar,1750.0,TFLOPS
2010,Tianhe-1A,2570.0,TFLOPS
2011,K computer,10510.0,TFLOPS
2012,Sequoia,16320.0,TFLOPS
2012,Titan,17590.0,TFLOPS
2013,Tianhe-2,33860.0,TFLOPS
2016,Sunway TaihuLight,93010.0,TFLOPS
2018,Summit,122300.0,TFLOPS
2019,Summit,148600.0,TFLOPS
2020,Fugaku,442010.0,TFLOPS
2022,Frontier,1102000.0,TFLOPS
